feature,importance
num__market_price_log,19.22802632964083
num__condition_age_interaction,17.188425595798808
num__current_market_price,11.723834835562906
num__condition_squared,8.048502700658656
num__purchase_price_log,7.716790011827121
num__condition_score,7.520479828979049
num__purchase_price,6.8549035553087325
num__age_years,2.5172999978667314
num__excellent_condition_flag,2.2836993175855653
num__damage_condition_ratio,1.7344414246104558
num__age_log,1.6792978783513886
num__purchase_age_days,1.420726692330673
num__total_damage_score,1.161626115331026
num__age_warranty_interaction,1.055544658598028
num__weighted_defect_score,0.9919313907344108
num__electronics_flag,0.9906794905843576
num__crack_severity,0.8824713557568127
num__furniture_flag,0.7996693687616101
num__high_value_product_flag,0.7382562665110934
cat__condition_grade_Reject,0.6708253079101303
cat__product_category_Furniture,0.6140023109500816
num__price_retention_ratio,0.5682126422547333
num__initial_warranty_days,0.5572754624419022
num__warranty_left_days,0.39674665928427394
cat__condition_grade_A,0.3871053160333199
num__scratch_severity,0.3371842120484649
num__premium_brand_flag,0.25707408949440763
cat__condition_grade_B,0.24325580527568408
cat__brand_IKEA,0.2264955511187576
num__usage_severity,0.15959064203859472
num__dent_severity,0.1521469306085565
num__heavily_damaged_flag,0.12089742120452084
num__warranty_ratio,0.12037473971309855
cat__product_category_Televisions,0.11255573964838615
num__defect_score,0.06627437990352811
cat__product_category_Laptops,0.06409699732685137
num__missing_accessories_flag,0.06352193215179204
cat__condition_grade_C,0.05715139746289674
num__warranty_left_log,0.044908477548046735
cat__missing_accessories_No,0.04049917645238548
cat__product_category_Washing Machines,0.03733983235456237
cat__missing_accessories_Yes,0.03393298117260788
cat__product_category_Microwaves,0.021758273932895617
cat__product_category_Refrigerators,0.02103515994148465
cat__brand_Dell,0.01329192393715313
cat__brand_Whirlpool,0.012292112651861545
num__long_warranty_flag,0.012288585442649446
cat__brand_Godrej,0.011857113208777983
cat__product_category_Mobile Phones,0.010576329630794681
cat__brand_LG,0.006867680211331952
cat__condition_grade_D,0.0066177124609375065
cat__brand_Sony,0.004323137528837169
cat__brand_HP,0.0036721888207654546
cat__brand_Samsung,0.003130416203090034
cat__brand_Lenovo,0.001576663728696963
cat__brand_Apple,0.0011034976906313977
cat__product_category_Headphones,0.0009950831061727975
cat__product_category_Smart Watches,0.0005393023081335959
num__expired_warranty_flag,0.0
cat__brand_Boat,0.0
cat__product_category_Tablets,0.0
num__is_supported_hackon_category,0.0
cat__brand_JBL,0.0
