iter	RMSE
0	29014.74767
1	27805.18153
2	26653.53235
3	25604.4815
4	24559.32625
5	23540.22234
6	22667.21712
7	21761.5596
8	20986.12961
9	20145.16395
10	19375.79361
11	18639.33364
12	17928.70608
13	17248.74553
14	16635.41541
15	16040.22269
16	15462.92328
17	14900.77026
18	14359.911
19	13847.60337
20	13370.49764
21	12930.00596
22	12493.43702
23	12086.48861
24	11710.25257
25	11339.62484
26	11010.22184
27	10658.05023
28	10320.55834
29	10005.77847
30	9715.052179
31	9427.648569
32	9151.764791
33	8891.718538
34	8651.722915
35	8408.523609
36	8187.923114
37	7980.900331
38	7782.932728
39	7584.945191
40	7399.163562
41	7229.575568
42	7068.251806
43	6928.110116
44	6775.780373
45	6631.211657
46	6495.93355
47	6366.215783
48	6241.914517
49	6118.818307
50	6010.549924
51	5916.470474
52	5817.939776
53	5719.689622
54	5625.189471
55	5548.467288
56	5464.702331
57	5376.671818
58	5301.406932
59	5225.474763
60	5155.520209
61	5091.481507
62	5033.715922
63	4974.342153
64	4907.015832
65	4852.81948
66	4798.245072
67	4747.106674
68	4689.926956
69	4651.472977
70	4599.334991
71	4551.080395
72	4510.188247
73	4468.434943
74	4427.20877
75	4391.276537
76	4354.288343
77	4315.965673
78	4276.646259
79	4235.181095
80	4205.185514
81	4176.316249
82	4144.633577
83	4115.777092
84	4086.531626
85	4060.153296
86	4031.134025
87	4011.561941
88	3988.515137
89	3963.641006
90	3944.258517
91	3923.34721
92	3902.975858
93	3884.137844
94	3867.684242
95	3842.515042
96	3821.631128
97	3801.864925
98	3781.329408
99	3762.293784
100	3741.398194
101	3721.782379
102	3702.847482
103	3686.324803
104	3667.591689
105	3646.169292
106	3632.386402
107	3615.807641
108	3597.930891
109	3583.374516
110	3567.474848
111	3553.910757
112	3537.028295
113	3516.748976
114	3505.546546
115	3490.998525
116	3473.921039
117	3460.358442
118	3444.528751
119	3431.410857
120	3417.585242
121	3403.832003
122	3391.768782
123	3378.24938
124	3362.873248
125	3351.713584
126	3335.395282
127	3319.678568
128	3303.953565
129	3292.475565
130	3282.275271
131	3270.279195
132	3261.616952
133	3250.2586
134	3235.885026
135	3225.338539
136	3216.378899
137	3206.077132
138	3188.556099
139	3178.521014
140	3168.767789
141	3158.529946
142	3143.58431
143	3128.623617
144	3115.559024
145	3106.765352
146	3096.778038
147	3085.876818
148	3073.06611
149	3059.890006
150	3052.366199
151	3044.202749
152	3031.102895
153	3019.694681
154	3010.43698
155	3003.057637
156	2996.526503
157	2984.301725
158	2974.345531
159	2965.724527
160	2955.491287
161	2945.328433
162	2941.509188
163	2933.597559
164	2924.144817
165	2912.850335
166	2904.337305
167	2898.45367
168	2891.52324
169	2884.862806
170	2875.956079
171	2869.212123
172	2861.265377
173	2853.432168
174	2846.015804
175	2840.154532
176	2832.083043
177	2822.934356
178	2812.555513
179	2803.898564
180	2794.061808
181	2788.755998
182	2781.493644
183	2774.416093
184	2765.4236
185	2755.496727
186	2748.450068
187	2742.392956
188	2735.309502
189	2726.666481
190	2721.041471
191	2713.558782
192	2702.821442
193	2693.419618
194	2685.138517
