iter	Passed	Remaining
0	33	19868
1	65	19436
2	97	19364
3	129	19258
4	160	19074
5	191	18949
6	222	18849
7	254	18817
8	284	18691
9	315	18634
10	347	18586
11	377	18508
12	408	18440
13	443	18557
14	473	18479
15	503	18385
16	537	18421
17	568	18395
18	602	18437
19	649	18841
20	695	19173
21	735	19336
22	776	19470
23	810	19453
24	841	19365
25	872	19269
26	903	19174
27	936	19122
28	966	19021
29	999	18993
30	1032	18960
31	1063	18881
32	1095	18825
33	1128	18789
34	1160	18735
35	1192	18682
36	1224	18633
37	1255	18564
38	1286	18500
39	1318	18456
40	1348	18384
41	1379	18327
42	1410	18265
43	1442	18228
44	1475	18194
45	1506	18141
46	1538	18098
47	1570	18063
48	1609	18098
49	1662	18290
50	1706	18373
51	1746	18400
52	1784	18417
53	1815	18355
54	1845	18290
55	1877	18235
56	1907	18170
57	1938	18113
58	1969	18060
59	2002	18020
60	2037	18000
61	2070	17965
62	2100	17903
63	2132	17860
64	2164	17819
65	2195	17762
66	2227	17716
67	2257	17661
68	2288	17609
69	2318	17556
70	2350	17513
71	2380	17460
72	2412	17417
73	2443	17368
74	2478	17351
75	2509	17303
76	2540	17258
77	2573	17222
78	2621	17286
79	2668	17347
80	2708	17356
81	2748	17365
82	2784	17345
83	2815	17297
84	2846	17244
85	2877	17196
86	2908	17149
87	2939	17103
88	2971	17061
89	3002	17012
90	3033	16965
91	3064	16921
92	3100	16900
93	3131	16857
94	3163	16816
95	3194	16773
96	3226	16732
97	3257	16686
98	3287	16638
99	3319	16595
100	3349	16550
101	3381	16511
102	3414	16477
103	3445	16432
104	3477	16394
105	3511	16365
106	3542	16320
107	3573	16279
108	3625	16330
109	3667	16339
110	3708	16338
111	3747	16329
112	3781	16295
113	3812	16252
114	3843	16207
115	3874	16167
116	3906	16126
117	3938	16088
118	3969	16046
119	4001	16004
120	4033	15966
121	4064	15925
122	4095	15881
123	4130	15854
124	4162	15816
125	4193	15775
126	4225	15737
127	4257	15699
128	4288	15656
129	4320	15619
130	4352	15581
131	4381	15535
132	4413	15496
133	4445	15459
134	4475	15414
135	4508	15382
136	4540	15343
137	4572	15306
138	4622	15330
139	4665	15328
140	4704	15315
141	4746	15309
142	4781	15281
143	4812	15238
144	4843	15197
145	4872	15152
146	4904	15114
147	4935	15074
148	4966	15033
149	4997	14993
150	5027	14949
151	5060	14915
152	5092	14879
153	5123	14839
154	5156	14804
155	5190	14773
156	5221	14732
157	5252	14693
158	5282	14650
159	5312	14610
160	5344	14572
161	5376	14536
162	5408	14500
163	5439	14461
164	5472	14427
165	5505	14393
166	5539	14362
167	5572	14328
168	5621	14335
169	5664	14327
170	5706	14316
